instruction_category,images,is_multiple_images,instruction,gpt4_prediction,images_dense_captions,images_blip2_captions,reference_output,human_ratings_gpt4_correct,human_ratings_problem_in_caption,human_ratings_problem_in_gpt4,public_images_metadata
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/450_rcc_clevr_default_006594.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/451_rcc_clevr_semantic_006594.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image, there is a small matte purple cylinder on the left side of the frame. In the AFTER image, the cylinder has changed to a matte brownish-yellow color. The other shapes and their properties remain the same in both images. The main difference between the two images is the color change of the cylinder.","[""A 3d model of a small matte purple cylinder on the left most side of the frame, a slightly larger glossy teal sphere, and right next to the sphere is a satin cube, roughly the same size as the sphere.  The shapes are all on a plain grey surface."", ""A 3d model of a small matte brownish-yellow cylinder on the left most side of the frame, a slightly larger glossy teal sphere, and right next to the sphere is a satin cube, roughly the same size as the sphere.  The shapes are all on a plain grey surface."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of a blue cube, a purple cube and a blue egg"", ""a 3d model of an egg, a cube and a cuboid""]",the tiny cylinder changed to brown,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/452_rcc_clevr_default_006580.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/453_rcc_clevr_semantic_006580.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image, there is a dull red square, while in the AFTER image, the square has changed to a dull green color. This is the main semantic difference between the two images.","[""This is an assorted collection of 3D rendered shapes on a grey background. Going clockwise from 11, there is a large purple cube, with a shiny metallic red ball behind it of a smaller size. To the right of the cube is a grey ball, that's the same size as the shiny red one. Directly right of that is a dull red square, that is the same size as the purple one. In front of that is a very small dull red ball, that's overshadowed by a shiny metallic blue cube, the same size as the others. In front of that is a small blue cylinder, slightly taller than the small dull red ball. To the left of it, and below the initial purple cube, is a cyan colored cylinder of the same size."", ""This is an assorted collection of 3D rendered shapes on a grey background. Going clockwise from 11, there is a large purple cube, with a shiny metallic red ball behind it of a smaller size. To the right of the cube is a grey ball, that's the same size as the shiny red one. Directly right of that is a dull green square, that is the same size as the purple one. In front of that is a very small dull red ball, that's overshadowed by a shiny metallic blue cube, the same size as the others. In front of that is a small blue cylinder, slightly taller than the small dull red ball. To the left of it, and below the initial purple cube, is a cyan colored cylinder of the same size."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d rendering of some colored cubes"", ""a 3d model of some colored cubes on a white surface""]",the red matte cube changed to green,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/454_rcc_clevr_default_002360.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/455_rcc_clevr_semantic_002360.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image, there is a shiny cyan cylinder in front of the red ball, while in the AFTER image, the cylinder is shiny gold. Additionally, in the BEFORE image, the small silver cube is behind the red ball, while in the AFTER image, it is almost fully behind the red ball. Lastly, the shiny purple cylinder in the BEFORE image is behind the cyan cylinder, while in the AFTER image, it is behind the gold cylinder and almost close enough to touch.","[""There are six three dimensional shapes rendered on a grey background. To the far left is a small dull cyan cube. Directly above that is a shiny gold ball that is the same size as the cube. To the right of the gold ball is a much larger dull red ball, which has a shiny, small silver cube behind it.  In front of the red ball is a larger, shiny cyan cylinder, which has a much smaller shiny purple cylinder behind it."", ""There are six three dimensional shapes rendered on a grey background. To the far left is a small dull cyan cube. Directly above that is a shiny gold ball that is the same size as the cube. To the right of the gold ball is a much larger dull red ball, which has a shiny, small silver cube almost fully behind it.  In front of the red ball, after a small gap, is a larger, shiny gold cylinder, which has a much smaller shiny purple cylinder behind it, almost close enough to touch."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of various colored spheres and cubes"", ""a 3d model of various colored spheres and cubes""]",the large cyan thing changed to brown,False,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/456_rcc_clevr_default_002740.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/457_rcc_clevr_semantic_002740.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","The main difference between the BEFORE image (Image 1) and the AFTER image (Image 2) is the color and material of the sphere in the front. In the BEFORE image, the sphere is described as a large, shiny, golden metallic sphere, while in the AFTER image, the sphere is described as a shiny, bright yellow, metallic sphere. This indicates that the sphere has changed from a golden color to a bright yellow color between the two images.","[""There are five shapes on a grey background. The shape furthest to the left is a small teal cylinder. Next to it is a yellow cube. On the right side of the image is a small purple cube, being covered up by a large red rubber ball. In the very front is a large, shiny, golden metallic sphere."", ""There are five shapes on a grey background. The shape furthest to the left is a small teal cylinder. Next to it is a yellow cube. On the right side of the image is a small purple cube, being covered up by a large red rubber ball. In the very front is a shiny, bright yellow, metallic sphere."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d rendering of some colored balls and cubes"", ""a 3d model of some colored balls and cubes""]",the blue ball changed to yellow,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/458_rcc_clevr_default_000992.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/459_rcc_clevr_semantic_000992.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image (Image 1), there is a small yellow rubber cylinder to the right of the small metal purple cube. In the AFTER image (Image 2), the yellow rubber cylinder has been replaced with a small purple rubber cylinder. The rest of the objects in the images remain the same. The main difference between the two images is the color and material of the cylinder to the right of the small metal purple cube.","[""There is a small metal purple cube on the left. To the right is a small yellow rubber cylinder. In front of the cylinder is a small purple rubber cube. To the  right and a bit behind the purple rubber cube is a big rubber yellow ball. Behind the yellow ball is a small metal teal cylinder."", ""There is a small metal purple cube on the left. To the right is a small purple rubber cylinder. In front of the cylinder is a small purple rubber cube. To the  right and a bit behind the purple rubber cube is a big rubber yellow ball. Behind the yellow ball is a small metal teal cylinder."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of a ball and cubes on a gray surface"", ""a 3d model of a yellow ball and some cubes""]",the matte cylinder became purple,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/460_rcc_clevr_default_007766.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/461_rcc_clevr_semantic_007766.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In this task, you will be provided with two individual images, the BEFORE image and the AFTER image, which are very similar but have some clear semantic differences. Your goal is to study them carefully and identify the differences between the BEFORE and AFTER images. For example, in the given descriptions, the BEFORE image has a purple sphere, while the AFTER image has a shiny black/silver sphere. Similarly, the AFTER image has a large yellow cube directly below the large green ball, while in the BEFORE image, the large yellow cube is slightly further to the left. Pay close attention to the colors, positions, and shapes of the objects in the images to spot the differences.","[""A 3d model on a gray surface. Furthest back is a purple cube below it to the right are a shiny blue a blue cylinder and a purple sphere. To the left is a yellow cube and a shiny yellow cube and a large blue sphere. Below that in the middle is a large green ball. Below that slightly further to the left is a large yellow cube."", ""A 3d model on a gray surface. Furthest back is a purple cube below it to the right are a shiny blue a blue cylinder and a shiny black/silver sphere. To the left is a yellow cube and a shiny yellow cube and a large blue sphere. Below that in the middle is a large green ball. Directly Below that is a large yellow cube."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of some colored cubes on a gray surface"", ""a 3d rendering of a bunch of colored cubes""]",the purple metallic object became gray,False,False,True,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/462_rcc_clevr_default_005483.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/463_rcc_clevr_semantic_005483.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image, there is a reflective silver cylinder in the middle of the front row, while in the AFTER image, the cylinder has changed to a reflective brown color. All other objects and their positions remain the same in both images. The main difference between the two images is the color change of the middle cylinder in the front row.","[""There are an assortment of rendered 3D objects here, of dissimilar sizes. Starting from the left front, there are three cylinders of equal size: A purple one, a reflective silver one, and another purple one. To the right of that is a shiny green square of equal size, behind which is a smaller shiny silver cylinder with a blue one of equal size to its left. Behind the blue one is a dull green one, that is the same size as the ones in the front, and to the left of it, are two smaller squares of equal size, one a dull yellow and the other a shiny red."", ""There are an assortment of rendered 3D objects here, of dissimilar sizes. Starting from the left front, there are three cylinders of equal size: A purple one, a reflective brown one, and another purple one. To the right of that is a shiny green square of equal size, behind which is a smaller shiny silver cylinder with a blue one of equal size to its left. Behind the blue one is a dull green one, that is the same size as the ones in the front, and to the left of it, are two smaller squares of equal size, one a dull yellow and the other a shiny red."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d rendering of a group of colored cylinders"", ""a group of colored cylinders on a gray surface""]",the big metallic cylinder changed to brown,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/464_rcc_clevr_default_000979.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/465_rcc_clevr_semantic_000979.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In the BEFORE image, there is a small shiny purple cube on the left side of the second row, while in the AFTER image, the cube is replaced with a shiny small red cube. Additionally, in the BEFORE image, the small silver metal cube at the front is nearly touching the edge of the photo, while in the AFTER image, it is offset from the front of the image by about an inch.","[""There are 10 rendered three dimensional shapes on a grey background.  Going from those closest to the viewer backwards into the image, the front most is a small silver metal cube nearly touching the edge of the photo, with a much larger solid brown cube to the left of it.  The next row behind that, from the left, is a shiny small purple cube, a similar sized dull cyan cylinder and dull green ball to the right of it, and another shiny purple cube at the far right. Behind that cube is a brown cylinder that's the same height as the purple cube, and to its right, a tall shiny cyan cylinder the same size as the large dull brown cube from earlier. To the left of that cylinder is a dull green cube as tall as the cylinder, and to its left is a shiny metallic blue ball that's the same height as the cube."", ""There are 10 rendered three dimensional shapes on a grey background.  Going from those closest to the viewer backwards into the image, the front most, which is offset from the front of the image by about an inch, is a small silver metal cube, with a much larger solid brown cube to the left of it.  The next row behind that, from the left, is a shiny small red cube, a similar sized dull cyan cylinder almost completely behind the brown cube, and dull green ball to the right of it, and another shiny purple cube at the far right. Behind that cube is a brown cylinder that's the same height as the purple cube, and to its right, a tall shiny cyan cylinder the same size as the large dull brown cube from earlier. To the left of that cylinder is a dull green cube as tall as the cylinder, and to its left is a shiny metallic blue ball that's the same height as the cube."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of various colored cubes and spheres"", ""a 3d model of various colored cubes and spheres""]",the tiny purple metal cube left of the brown block changed to red,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/466_rcc_clevr_default_007114.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/467_rcc_clevr_semantic_007114.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","In this task, you will be provided with two individual images, i.e., BEFORE and AFTER, that are very similar but with clear semantic differences. Please study them carefully to find out the differences between the BEFORE image and the AFTER image.

Explanation: The task requires you to carefully observe and analyze two images that are similar but have some noticeable differences. Your goal is to identify and describe these differences. In the given example, the main difference between the two descriptions is the color of the cube next to the large dull purple cube - in the first description, it is a shiny gold cube, while in the second description, it is a shiny silver cube.","[""There are eight 3D rendered shapes on a gray surface. To the left standing by itself is a tall blue cylinder. Straight down from it is a smaller shiny silver ball, and to the right of it is a shiny purple ball of the same size. Behind the shiny purple ball is a large dull purple cube that is as tall as the blue cylinder. Next to that is a shiny gold cube that is the same size, and then a dull blue cube and below that, a dull green cube, all of same size. Between the shiny purple ball and dull blue cube is a small dull brown cube that's small like the ball."", ""There are eight 3D rendered shapes on a gray surface. To the left standing by itself is a tall blue cylinder. Straight down from it is a smaller shiny silver ball, and to the right of it is a shiny purple ball of the same size. Behind the shiny purple ball is a large dull purple cube that is as tall as the blue cylinder. Next to that is a shiny silver cube that is the same size, and then a dull blue cube and below that, a dull green cube, all of same size. Between the shiny purple ball and dull blue cube is a small dull brown cube that's small like the ball."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""a 3d model of some colored cubes and a ball"", ""a 3d rendering of a bunch of colored cubes""]",the large metallic cube changed to gray,True,False,False,{}
rcc,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/468_rcc_clevr_default_004556.png"", ""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/469_rcc_clevr_semantic_004556.png""]",True,"In this task you will be provided with two individual images i.e., BEFORE and AFTER that are very similar, but with clear semantic differences. Please study them carefully to find out as the differences between the BEFORE image and the AFTER image.","The main difference between the BEFORE image (1) and the AFTER image (2) is the color of the sphere in front of the teal cube. In the BEFORE image, the sphere is brownish-orange, while in the AFTER image, the sphere is purple. All other elements in the scene remain the same.","[""A 3d scene of various shapes, from a slight birds eye view.  In roughly the top center of the image are two cubes, the center left cube is teal and the center right cube is red.  In front of the teal cube is a roughly same sized brownish-orange sphere and in front of the red cube is a 3x smaller grey sphere.  In front of the grey sphere is a blue cube, roughly half the size of the teal and red cubes.  To the close right of the blue cube is a metallic sphere, about the same size as the teal and red cubes.  On the far left are two spheres, one teal and one green, they are half the size of the larger spheres.  Next to the center left teal cube first mentioned is a half sized brownish yellow cylinder.  All shapes are matte except for the metallic sphere, which is reflective."", ""A 3d scene of various shapes, from a side view.  In roughly the top center of the image are two cubes, the center left cube is teal and the center right cube is red.  In front of the teal cube is a roughly same sized purple sphere and in front of the red cube is a 3x smaller grey sphere.  In front of the grey sphere is a blue cube, roughly half the size of the teal and red cubes.  To the close right of the blue cube is a metallic sphere, about the same size as the teal and red cubes.  On the far left are two spheres, one teal and one green, they are half the size of the larger spheres.  Next to the center left teal cube first mentioned is a half sized brownish yellow cylinder.  All shapes are matte except for the metallic sphere, which is reflective."", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[""3d model of spheres, cubes and balls"", ""a 3d rendered image of a bunch of different colored spheres and cubes""]",the large rubber ball turned purple,True,False,False,{}
